DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency
Security System,0.651912408058198,8.465008734998781,1,3,39,0
Lights,12.161621714669128,0.1023846577268781,1,3,14,1
Camera,7.212210731212712,1.768294970245924,0,4,5,0
Smart Speaker,17.763295066697573,0.4011930425754476,0,1,47,0
Thermostat,1.062737233856362,3.34865708709918,0,2,21,0
Security System,14.243453565686083,9.091076997395378,1,2,15,1
Lights,22.624644581392538,1.0598260236299788,0,2,56,0
Lights,4.598617777120238,6.103456789763624,1,0,36,0
Smart Speaker,11.583763032638991,4.569809797282497,1,2,33,1
Security System,2.648416807702747,9.390835302421545,1,4,17,0
Camera,15.203524938141786,1.312939511117229,1,0,57,1
Security System,13.437494494011302,2.1990757199720665,1,0,20,1
Smart Speaker,10.07308981900156,0.3924654892537834,0,2,1,0
Smart Speaker,12.75236000463292,4.3959589713506,0,0,16,1
Security System,21.56950447402174,2.850545705690078,1,1,45,1
Smart Speaker,5.112916104310076,8.712068745514177,1,1,18,0
Security System,1.03026602507566,6.088914050657775,1,2,10,0
Thermostat,20.749124790428876,6.179498305959447,1,4,23,1
Security System,14.062251436115805,5.365915899124894,0,0,18,0
Security System,21.430473703353297,1.0093183385690898,1,3,49,1
Smart Speaker,14.528212750209557,4.505684968881017,1,2,58,1
Smart Speaker,19.53878561405301,9.995101378114311,0,0,9,0
Lights,10.597324038845976,8.368769979375546,0,2,46,0
Lights,18.12170838527432,8.945244636254447,0,2,53,0
Thermostat,21.956474471911616,8.249940956540344,0,4,30,0
Lights,13.944889647471848,1.1201127649667286,1,3,13,1
Security System,4.74845103821592,2.3517377152415166,1,0,52,1
Smart Speaker,6.816743953209657,0.1309043484284553,1,2,52,0
Lights,5.168147557089036,3.104750236293304,1,2,31,1
Lights,6.301140148499724,1.1752132832302766,1,0,46,1
Thermostat,7.700763059749355,4.780654118485671,1,2,43,0
Thermostat,13.54564398869993,6.803562136881629,1,2,13,1
Security System,14.31780329240007,8.757602420876962,1,2,32,1
Smart Speaker,10.522744060183737,7.517249934399892,1,1,17,1
Thermostat,14.962388325789632,9.391997398207202,0,1,3,0
Lights,2.417010751867099,0.633593074898509,1,3,1,1
Smart Speaker,2.5630235708667595,0.2205803706237602,0,4,53,0
Smart Speaker,4.5379923184049735,6.647247326978505,0,0,5,0
Lights,12.674821203948104,2.964588861200238,0,4,32,0
Thermostat,5.528874949410369,2.609660059447154,0,4,25,0
Lights,7.157183482075567,3.375782168168564,1,1,45,0
Smart Speaker,9.90735165006536,2.7709809731344053,0,3,56,0
Camera,19.57885391424393,5.163220422385714,0,4,5,0
Camera,0.8257601939522128,4.457469627518911,1,4,37,0
Security System,15.760402275560626,5.173042658628898,0,2,23,0
Lights,16.218598479456105,6.759864753854318,1,0,12,1
Lights,19.26841083838096,3.9325920388143687,1,3,34,1
Security System,22.41969406791736,2.5879461027073525,1,0,23,1
Security System,0.9732394503083108,1.7453853144065803,1,1,16,1
Security System,4.11391707956058,3.559793783372993,0,4,49,0
Smart Speaker,21.325025410315835,7.443884104937103,1,4,5,1
Lights,11.27518621139486,7.591378610103549,0,0,44,0
Smart Speaker,13.767880014936392,6.702363328173682,0,1,47,0
Security System,16.08113928749396,2.4168789355380587,1,2,28,1
Lights,16.45806520564748,5.922053833961507,0,2,6,0
Smart Speaker,22.39589947793794,5.749827649610795,1,4,13,1
Smart Speaker,23.92831130917424,4.894235361286282,0,4,43,0
Security System,17.423700331877097,5.544791965200256,0,3,30,0
Lights,7.249698416321044,4.968727262974314,0,0,26,0
Security System,21.174181453917075,5.698018024133671,0,4,17,0
Lights,1.656691491707898,7.183508950749174,1,1,9,0
Camera,5.9304000425506604,1.1853191245940535,1,0,57,1
Thermostat,21.5885643603973,7.521294946275335,0,3,16,0
Thermostat,6.520500589324842,1.4452728862631827,0,2,49,0
Thermostat,5.685299901111089,0.7596171842627095,0,3,52,0
Security System,3.7459443887958095,9.76318889359253,0,0,56,0
Camera,20.689126304702537,9.57421851181737,1,2,18,1
Lights,12.251369090990538,0.6983217949115841,0,1,13,0
Smart Speaker,16.359990271772638,4.488209070602125,0,2,29,0
Lights,6.118060025763198,1.94382488916777,0,2,43,0
Smart Speaker,18.31394989376359,4.904914481630739,1,1,45,1
Lights,18.360130306609317,8.318754705695914,0,4,24,0
Camera,7.846053585345053,9.511056569954611,1,4,58,0
Smart Speaker,10.151041875741647,6.37910126917022,1,2,45,0
Security System,5.42772151960972,3.603666105396989,0,2,44,0
Lights,23.44918404808825,6.072923099881524,0,3,46,0
Lights,15.671660560872674,3.1888129304736585,0,4,13,0
Smart Speaker,22.461781196814616,9.107254044237395,1,1,25,1
Security System,7.629560275284629,8.716964584747785,1,2,41,0
Security System,18.87443645542691,5.6264943277686434,0,2,46,0
Camera,18.49767813129144,3.3155092622655697,1,3,1,1
Security System,16.753907818863727,3.004557788271486,0,3,9,0
Security System,23.19251591876981,0.4308381475800886,0,3,4,0
Security System,9.748550398498416,8.176626425150422,0,0,28,0
Thermostat,3.5718571043592964,4.558793809086179,0,1,12,0
Camera,16.28515819223543,3.318815991162618,0,0,24,1
Lights,17.638780311214344,4.763992514477764,0,2,46,0
Smart Speaker,14.013923476282145,8.205506105501055,1,3,9,1
Lights,5.360220488634813,1.33368065630446,1,3,35,1
Camera,12.354714629229852,8.590794283594091,1,3,38,0
Smart Speaker,7.836458809374541,8.985337467572705,0,4,35,0
Camera,10.545463411917192,9.472408358835493,0,1,33,0
Security System,15.662636532349602,4.035131124984015,0,0,58,0
Smart Speaker,18.012546453234613,2.249689999972952,1,1,54,1
Security System,5.957280236181563,3.7990441028203152,0,3,53,0
Lights,10.025145975203404,3.3958297526908927,1,2,35,1
Lights,6.825296918303286,1.8439237337783148,0,4,46,0
Smart Speaker,5.1678429257539245,6.11194003400473,1,1,20,0
Smart Speaker,18.909599669902203,4.818579189035426,0,2,2,0
Camera,21.86743831926932,8.670439824007635,0,3,44,0
Camera,9.200456363587552,0.4178848467723767,1,3,26,1
Security System,18.15505472278352,6.47429248279575,1,3,42,0
Smart Speaker,21.57938930006366,7.653193897264455,1,3,13,1
Lights,20.38391894746044,7.618917034964239,0,4,30,0
Camera,4.796114630671809,8.872132274245699,1,4,52,0
Camera,22.97285921556399,7.317434054011991,1,1,32,1
Lights,9.351896350092368,9.285319610312191,0,3,36,0
Camera,8.472155537585154,3.3933003382268256,0,4,19,0
Security System,1.967136191027838,5.081773225840276,1,2,22,0
Smart Speaker,11.92508087146475,0.2393886665006177,0,4,1,0
Lights,3.0618199675618247,0.168880114302583,1,4,57,0
Smart Speaker,6.340685791794511,2.4772535424700477,1,1,11,1
Camera,7.948151611531112,1.097991251676944,1,4,26,1
Camera,19.50741860205457,2.676092542563961,0,2,48,0
Lights,21.07398328430357,1.8527286158311345,1,3,19,1
Security System,7.607958460344538,0.3823482459026176,1,0,19,1
Thermostat,20.679405849247487,9.10211104941989,0,1,12,0
Lights,20.64492702819009,0.181409000750026,1,2,3,1
Thermostat,18.469297334044526,7.387213228937146,1,1,55,0
Thermostat,3.947335179356766,1.6062640805032138,1,3,56,0
Security System,16.72258690216713,9.13107325779604,0,4,18,0
Thermostat,22.70806551764337,8.93867980193987,1,4,49,0
Thermostat,16.53970125102819,6.573621349055648,0,2,5,0
Security System,8.292995954034097,6.755118083025991,0,3,48,0
Thermostat,12.263613959624536,0.1528575054999165,1,0,24,1
Thermostat,15.67453851874976,9.85022850452466,1,0,14,1
Thermostat,12.498404605119834,8.790542775400562,0,4,51,0
Lights,3.3188941306777906,8.961551634727911,1,3,38,0
Lights,7.833505049322485,6.626520916803632,1,3,3,0
Lights,19.35630671801036,3.513390593679912,0,2,6,0
Security System,20.74332408324466,8.94712162599576,1,0,12,1
Camera,3.7265507688159,2.986017588696805,1,2,52,0
Thermostat,22.881088681370027,5.670844279087808,0,1,11,0
Thermostat,8.22733151944232,1.0873366262044355,1,3,39,1
Security System,16.064372860171922,9.227360738314228,0,0,59,0
Thermostat,18.167890929982008,1.493627531935012,0,2,26,0
Lights,19.58073651399026,2.326478376731032,1,4,1,1
Camera,22.72511800230936,5.625528165469328,0,1,16,0
Smart Speaker,7.853609378677331,7.664520702108517,1,2,48,0
Thermostat,20.67490168196153,6.23157792876936,1,4,49,0
Lights,3.5946422307508654,2.3981257367215463,0,0,47,0
Smart Speaker,17.06846129930943,0.1093361210221543,0,0,53,0
Camera,17.93647664357867,7.595790745043648,0,1,9,0
Smart Speaker,16.426496168231033,9.853552526519827,0,4,5,0
Lights,6.429396299176095,8.118139891030294,0,3,52,0
Smart Speaker,21.01651395485728,4.656045519750491,0,0,8,1
Security System,4.468173889204283,9.047295887851154,1,3,21,0
Smart Speaker,1.7604176007395247,4.157491963871665,1,3,33,1
Thermostat,17.360427279379934,5.296847434010329,0,2,39,0
Thermostat,11.67367930796924,4.823584697217264,1,2,43,1
Security System,20.453803469028887,4.531476339388697,0,0,20,1
Lights,9.509832814869084,7.774388616009666,0,3,58,0
Thermostat,4.454546829931251,5.315012181967971,1,2,53,0
Camera,20.15639152304194,3.235499508049639,1,4,45,1
Thermostat,13.399376343541684,2.655765859818936,0,4,22,0
Thermostat,4.94610112117334,0.4736984379775906,0,4,13,0
Lights,17.429023966781475,5.873632102642155,0,4,39,0
Smart Speaker,12.511170504503262,2.3766180124702387,1,3,11,1
Thermostat,14.701355082647517,1.5665258279621928,0,4,18,0
Security System,11.331110947854674,6.572916641894008,0,3,30,0
Smart Speaker,19.97466111972315,6.843971652433334,1,0,33,1
Camera,19.99472381855167,7.546333433350893,1,0,44,1
Lights,17.170637312873076,5.085411273752055,1,4,3,1
Camera,2.9769323688168634,8.951140591518477,0,4,58,0
Smart Speaker,20.213065754745617,9.369793258642456,0,4,1,0
Smart Speaker,16.268805042523383,8.092972303945645,1,0,36,1
Smart Speaker,16.88006790110104,6.392375471881054,0,2,6,0
Camera,9.030096749490983,3.106837440552768,0,0,37,0
Smart Speaker,21.163069569689657,9.83115472404019,1,4,29,1
Camera,17.54623260551915,2.8139480552001896,1,2,11,1
Smart Speaker,3.14587596343607,2.1063035277052675,0,2,52,0
Security System,10.082783808544823,4.4773257264871695,1,1,55,1
Smart Speaker,21.32993850606333,0.6627216500526457,1,3,13,1
Camera,1.6091224898884064,9.787095200250729,0,4,11,0
Thermostat,23.09329056158816,5.925492208522606,0,3,59,0
Smart Speaker,16.460320355509726,5.613825707475335,0,1,38,0
Thermostat,15.33733547461935,6.592383171007227,0,3,51,0
Security System,6.858142527467797,5.020534112994346,0,4,25,0
Lights,6.346607035370661,0.4174288192359616,0,1,15,0
Security System,22.638368157981997,6.161881759519928,1,3,53,0
Smart Speaker,7.509402674501884,7.190121381868663,1,0,13,1
Thermostat,18.72437447289649,4.225815700178126,1,2,42,1
Thermostat,9.73836225786636,7.59722616350481,0,1,33,0
Camera,3.772470663440544,2.347312863450364,0,0,13,0
Thermostat,0.7518094958409354,2.290638251555222,0,4,38,0
Camera,13.290047419858396,1.6980281781069824,0,2,53,0
Lights,23.43080223589992,3.7827481219127024,0,1,58,0
Smart Speaker,9.174700554516305,8.485419150351927,1,2,24,1
Camera,8.894019848836553,8.296329415275737,0,1,20,0
Lights,8.58615301946189,3.889959658838688,1,1,44,1
Thermostat,12.732780176664171,5.932275486204341,0,3,17,0
Thermostat,10.8556247604709,7.236081533101665,1,2,59,0
Lights,21.17799372808484,2.487947068817428,1,2,50,1
Thermostat,12.379738605502022,1.7645967503579962,1,0,24,1
Lights,12.432309197431367,9.72375033280188,1,4,26,1
Camera,3.75173247593308,6.213817400775223,1,0,40,0
Camera,23.59437921139407,9.816015646153271,1,3,32,1
Lights,6.374362935417498,3.443784272609068,1,1,29,1
Camera,2.224055585300663,7.060013829743902,0,3,14,0
Camera,16.083936850917407,2.3037760017582536,0,3,37,0
Camera,14.491109698686508,2.685881695611738,1,0,22,1
Security System,10.255922868829524,5.167831000569278,0,1,34,0
Smart Speaker,10.421517496195934,3.2642194425299054,0,4,27,0
Thermostat,18.94900214459113,1.7594534820217864,1,3,28,1
Security System,5.099247042341753,2.702518949694328,0,4,57,0
Camera,19.775952995204907,0.4539091052120599,1,1,22,1
Lights,15.745557176532929,7.073793852627118,0,1,57,0
Camera,10.345789683818824,4.97195490515003,1,0,43,1
Smart Speaker,11.263672489720912,1.0330063574048036,0,2,58,0
Camera,6.531209368873252,1.7997705319720632,1,0,3,1
Lights,18.17468681837891,1.1150919273151758,0,4,22,0
Smart Speaker,12.552556444173792,6.164668801931177,0,0,58,0
Camera,8.040081754621324,1.0326825997636886,0,1,48,0
Smart Speaker,14.50717772038233,7.567395097048639,1,3,21,1
Thermostat,23.89975962320609,0.3030581012718726,1,2,16,1
Thermostat,10.728663571929015,2.568820301159332,0,1,9,0
Camera,22.13624791829756,8.91760009132988,0,3,13,0
Smart Speaker,8.607895738227304,7.213460049410235,1,4,10,1
Lights,1.7862186127371684,0.8223864959643085,0,4,49,0
Camera,5.299689499658078,8.22914843440328,0,4,57,0
Thermostat,10.339335868200578,4.981047703248027,1,0,21,1
Thermostat,5.661420821972372,8.48315196897141,1,4,49,0
Camera,0.5053353981290052,6.047323767058894,0,4,42,0
Smart Speaker,22.00253613706689,6.850147017125301,1,0,40,1
Thermostat,20.33116616392683,9.935665447917511,0,3,7,0
Smart Speaker,17.943867439943258,2.40012190464778,0,1,46,0
Thermostat,4.443642997681673,6.277061190137744,1,2,22,0
Thermostat,3.3285440409346725,4.657181761568244,0,4,18,0
Security System,2.088711612601004,0.4905743339346452,1,4,21,1
Thermostat,17.514685936163648,0.2432593508783638,1,4,51,1
Lights,22.326987076165302,1.280362920396801,0,0,50,0
Camera,10.61759179145637,6.526008231331626,1,0,14,1
Camera,3.299805791907132,5.714914570342582,0,0,10,0
Smart Speaker,12.541231287204504,5.578952655520902,1,2,33,1
Thermostat,8.697549825277807,0.4153819490297749,0,1,9,0
Lights,9.308385722224946,4.74609966396407,1,4,18,1
Smart Speaker,15.10126966765912,9.253765896641031,0,3,13,0
Security System,17.389875661661755,4.036159506175402,0,4,59,0
Smart Speaker,3.09918457351928,6.286732450905718,1,4,17,0
Smart Speaker,1.3363704239521952,7.820204888669121,0,4,23,0
Thermostat,23.866762113114294,7.860860263504687,0,4,25,0
Security System,5.969116199515468,5.240872815713186,0,1,54,0
Smart Speaker,1.7650173353487884,8.59372425948313,0,3,16,0
Lights,4.96207023375412,3.974643124301095,0,0,24,0
Lights,1.4155093891889092,8.898062826369504,0,3,31,0
Camera,9.707556023503534,2.478248947315899,1,4,11,1
Security System,19.35644193460612,2.8741424292066533,1,3,23,1
Security System,8.519244569306434,0.6258941795701108,1,4,41,1
Camera,10.938310061641614,7.9762601817686,1,3,39,0
Smart Speaker,16.37628917883481,4.2288468387037845,0,2,22,0
Security System,12.459010646642184,2.3682544777228505,0,3,33,0
Lights,20.74397362150112,2.394723748404139,1,0,41,1
Lights,20.85183836357528,9.023859418169408,0,0,42,0
Thermostat,0.7329013440421106,8.355774344564265,1,3,48,0
Security System,18.784088202355186,5.5799557650361145,0,3,53,0
Smart Speaker,11.327239605679337,6.199496924115639,0,1,18,0
Camera,23.73775272063608,4.795823148447881,1,3,14,1
Camera,11.855953783072726,3.977498774500208,0,0,28,1
Smart Speaker,23.69205471662499,9.16322112406148,1,2,11,1
Thermostat,18.23237998833481,1.3435657648509909,1,0,24,1
Camera,6.342214788412699,4.242623218190657,1,1,36,0
Security System,13.152282013243504,3.511162889079966,0,3,19,0
Thermostat,23.81518752774669,5.031692130486369,0,2,13,0
Security System,20.651969282170207,4.630555557997233,1,0,33,1
Lights,2.788122004093696,5.237006363345706,0,2,53,0
Thermostat,17.09974192503491,1.4851978745472416,1,4,19,1
Camera,8.621120267964107,5.180100864981443,1,0,47,1
Thermostat,0.6640831541881808,2.499946257483388,0,4,52,0
Thermostat,9.98180277213449,1.9248803549830933,1,2,32,1
Thermostat,6.016728910536825,0.7418587659832931,0,3,15,0
Thermostat,19.74342785723108,7.650260331685795,0,3,57,0
